Rank,Running order,Country,Total,Albania,Austria,Belarus,Belgium,Croatia,Cyprus,Denmark,Estonia,Macedonia,Finland,France,Germany,Greece,Iceland,Ireland,Israel,Latvia,Lithuania,Malta,Netherlands,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom,Bulgaria,Hungary,Moldova,Armenia,Czech Republic,Georgia,Montenegro,Azerbaijan,San Marino,Italy,Australia
1,22,Israel,529,6,19,8,16,16,10,3,0,4,19,24,11,10,15,13,0,8,7,14,15,7,10,2,8,18,9,1,22,17,6,22,17,14,16,22,18,22,15,1,13,24,9,18
2,25,Cyprus,436,20,1,15,11,8,0,6,12,18,7,3,9,24,3,17,2,1,7,22,11,7,8,5,12,11,10,14,20,16,10,4,8,15,7,13,19,8,10,6,14,7,8,7
3,5,Austria,342,2,0,10,15,0,2,18,18,0,10,7,15,0,17,5,13,7,15,1,13,16,12,8,12,0,4,12,8,12,8,7,12,16,11,3,7,5,9,0,0,0,7,5
4,11,Germany,340,14,16,0,7,3,3,24,6,3,1,8,0,2,14,16,8,3,7,4,24,18,11,8,8,4,10,4,13,6,18,0,3,6,1,8,5,3,7,0,5,14,13,12
5,26,Italy,308,24,10,4,6,10,15,0,7,6,10,10,12,9,0,0,5,6,7,22,7,0,5,14,6,7,14,10,10,0,8,5,0,6,6,8,3,2,5,12,5,12,0,0
6,14,Czech Republic,281,1,15,11,8,9,13,6,5,9,5,4,8,7,11,7,12,4,8,8,6,4,4,0,3,2,5,11,14,3,0,14,5,11,8,6,14,0,0,0,6,10,0,4
7,20,Sweden,274,4,8,1,8,0,12,11,5,7,8,5,12,8,7,0,10,12,12,7,8,13,6,0,0,11,12,12,2,0,5,6,2,2,1,0,12,8,12,2,2,8,1,12
8,6,Estonia,245,4,2,0,0,0,5,7,0,12,12,7,2,7,7,7,8,18,12,0,4,0,0,19,3,9,3,5,3,0,10,4,6,2,0,13,2,5,16,5,3,5,10,8
9,15,Denmark,226,0,5,10,5,2,0,0,8,0,13,2,3,0,12,2,6,5,10,2,8,10,6,2,2,7,4,7,0,12,2,11,2,0,24,0,0,7,3,6,0,6,12,10
10,19,Moldova,209,2,0,6,0,8,10,0,1,1,0,6,0,11,0,1,10,7,0,0,0,0,0,6,19,24,6,6,0,0,0,6,4,8,2,0,11,6,3,8,11,9,10,7
11,12,Albania,184,0,9,7,2,5,6,0,0,18,0,0,0,17,10,2,0,0,0,0,0,0,7,10,0,0,1,5,0,0,7,0,7,7,10,0,0,6,4,20,12,0,12,0
12,4,Lithuania,181,0,0,5,0,12,6,0,22,0,0,0,8,0,0,12,0,16,0,5,7,15,1,6,6,3,0,0,0,7,8,2,12,10,5,0,0,1,9,0,0,0,0,3
13,13,France,173,12,0,0,11,6,4,2,0,0,9,0,0,5,9,4,6,10,15,8,0,8,3,5,0,2,0,2,10,5,0,19,0,5,0,0,9,0,4,0,0,0,0,0
14,18,Bulgaria,166,14,6,1,0,8,12,1,7,7,10,0,0,5,0,10,1,0,0,9,0,0,2,7,5,0,2,0,5,6,2,0,14,0,0,11,0,5,6,4,6,0,0,0
15,7,Norway,144,0,0,18,0,5,5,8,6,0,0,0,0,3,4,0,0,2,0,4,4,0,0,0,0,5,9,5,3,10,0,0,5,0,7,7,7,0,0,7,7,0,12,1
16,24,Ireland,136,7,8,0,4,3,0,4,0,0,2,1,15,0,4,0,0,0,4,0,4,1,7,3,1,0,0,0,6,4,6,0,13,1,3,0,0,14,0,0,0,4,5,12
17,1,Ukraine,130,0,0,12,0,0,2,0,0,4,0,4,0,0,0,0,7,3,0,0,0,0,12,4,0,8,0,0,0,0,0,0,0,1,0,15,4,12,8,7,14,5,8,0
18,23,Netherlands,121,0,1,0,22,0,0,5,1,0,2,6,5,0,0,3,0,5,3,0,0,9,8,0,8,0,7,7,0,1,0,8,0,0,8,1,3,0,5,3,0,0,0,0
19,10,Serbia,113,3,8,0,0,12,0,0,0,18,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,7,0,0,0,0,0,24,10,3,1,0
20,16,Australia,99,0,0,2,0,0,0,12,0,0,0,10,7,0,0,0,7,6,0,9,0,6,4,0,2,5,0,0,0,8,0,2,1,0,7,7,2,0,0,0,0,2,0,0
21,21,Hungary,93,0,3,2,0,0,4,0,3,0,8,0,2,6,0,0,3,0,2,0,2,0,10,0,10,0,12,3,0,0,0,1,0,5,0,2,0,2,0,3,8,0,2,0
22,3,Slovenia,64,0,5,4,0,7,0,0,0,4,0,2,0,0,0,0,4,1,0,0,1,0,0,3,1,0,8,0,0,0,0,5,0,0,0,0,0,7,0,6,0,6,0,0
23,2,Spain,61,0,0,0,1,0,7,6,0,0,0,5,6,0,0,1,0,0,0,0,0,2,0,14,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7
24,9,United Kingdom,48,3,0,0,0,2,0,3,0,0,0,3,1,0,0,10,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,6
25,17,Finland,46,0,0,0,0,0,0,0,12,5,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,3,0,0,0,0,0,4
26,8,Portugal,39,0,0,0,0,0,0,0,3,0,0,8,0,0,0,6,0,0,7,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0